"POP1A - Population par sexe et âge regroupé en 2021"
"Département du Nord (59)"
"© Insee"


"POP1A - Âge regroupé et sexe"
"Âge";"Hommes";"Femmes";"Ensemble";
"Moins de 3 ans";"45850";"44429";"90279";
"3 à 5 ans";"50207";"47280";"97488";
"6 à 10 ans";"88437";"83689";"172126";
"11 à 17 ans";"123362";"118228";"241590";
"18 à 24 ans";"128284";"127416";"255701";
"25 à 39 ans";"243605";"250963";"494568";
"40 à 54 ans";"243623";"249615";"493238";
"55 à 64 ans";"147779";"161187";"308966";
"65 à 79 ans";"146847";"183381";"330228";
"80 ans ou plus";"41382";"85727";"127109";
"Ensemble";"1259378";"1351915";"2611293";

"Source : Insee, RP2021 exploitation principale, géographie au 01/01/2024."
